Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.092880,0.095996,0.092880,0.092880,0.035936,817600
1962-01-03,0.092880,0.094438,0.092880,0.094126,0.036418,778700
1962-01-04,0.094126,0.094438,0.093503,0.094126,0.036418,934500
1962-01-05,0.094126,0.094750,0.093815,0.094438,0.036539,934500
1962-01-08,0.094438,0.095685,0.092256,0.094126,0.036418,1246000
1962-01-09,0.094126,0.095996,0.093503,0.095996,0.037142,623000
1962-01-10,0.095996,0.097555,0.095996,0.096931,0.037503,661900
1962-01-11,0.096931,0.100360,0.096620,0.099736,0.038589,1985800
1962-01-12,0.099736,0.100048,0.095373,0.096620,0.037383,1985800
1962-01-15,0.096620,0.097243,0.095996,0.096620,0.037383,623000
1962-01-16,0.095996,0.095996,0.093503,0.094126,0.036418,350400
1962-01-17,0.094126,0.094126,0.091009,0.091009,0.035212,389300
1962-01-18,0.091633,0.093503,0.091633,0.092880,0.035936,311500
1962-01-19,0.093503,0.094750,0.093503,0.094750,0.036659,428300
1962-01-22,0.095373,0.096308,0.095373,0.096308,0.037262,350400
1962-01-23,0.096308,0.098490,0.095373,0.095996,0.037142,1168100
1962-01-24,0.095996,0.095996,0.093503,0.094750,0.036659,350400
1962-01-25,0.094750,0.095061,0.093503,0.093503,0.036177,155700
1962-01-26,0.093503,0.094750,0.092880,0.092880,0.035936,350400
1962-01-29,0.092880,0.094126,0.092880,0.092880,0.035936,233600
1962-01-30,0.092880,0.093815,0.092256,0.093503,0.036177,661900
1962-01-31,0.093503,0.093815,0.092880,0.093503,0.036177,311500
1962-02-01,0.093503,0.096308,0.093503,0.094750,0.036659,1246000
1962-02-02,0.094750,0.095996,0.094750,0.094750,0.036659,623000
1962-02-05,0.094750,0.095685,0.094750,0.094750,0.036659,389300
1962-02-06,0.094750,0.095373,0.094126,0.094126,0.036418,233600
1962-02-07,0.094750,0.095996,0.094750,0.095373,0.036900,1401700
1962-02-08,0.096620,0.098801,0.096620,0.097866,0.037865,2063600
1962-02-09,0.098178,0.099113,0.098178,0.098490,0.038106,1012300
1962-02-12,0.098490,0.098801,0.097866,0.098490,0.038106,623000
1962-02-13,0.098490,0.098490,0.097243,0.098490,0.038106,623000
1962-02-14,0.098178,0.098178,0.097243,0.097243,0.037624,194600
1962-02-15,0.097555,0.098178,0.097555,0.097866,0.037865,467200
1962-02-16,0.098490,0.101295,0.098490,0.099736,0.038589,3699000
1962-02-19,0.099736,0.099736,0.098178,0.098178,0.037986,817600
1962-02-20,0.098801,0.099113,0.098801,0.099113,0.038347,233600
1962-02-21,0.098490,0.098490,0.097866,0.097866,0.037865,116800
1962-02-23,0.097866,0.098178,0.097243,0.097243,0.037624,428300
1962-02-26,0.095996,0.095996,0.093503,0.094750,0.036659,739800
1962-02-27,0.094750,0.095996,0.094126,0.094126,0.036418,467200
1962-02-28,0.094126,0.094750,0.093191,0.093191,0.036056,272500
1962-03-01,0.093503,0.095685,0.093503,0.095685,0.037021,428300
1962-03-02,0.095685,0.096308,0.095061,0.095061,0.036780,272500
1962-03-05,0.095373,0.096931,0.095373,0.095373,0.036900,428300
1962-03-06,0.095373,0.095373,0.094126,0.094126,0.036418,155700
1962-03-07,0.093503,0.093503,0.093503,0.093503,0.036177,116800
1962-03-08,0.093503,0.095061,0.093191,0.095061,0.036780,350400
1962-03-09,0.095061,0.095996,0.094750,0.094750,0.036659,506100
1962-03-12,0.095061,0.096620,0.095061,0.096620,0.037383,389300
1962-03-13,0.096620,0.098178,0.096620,0.098178,0.038084,350400
1962-03-14,0.098178,0.099113,0.097243,0.097243,0.037721,584000
1962-03-15,0.097243,0.098490,0.097243,0.097866,0.037963,272500
1962-03-16,0.097866,0.098178,0.097555,0.097866,0.037963,116800
1962-03-19,0.097866,0.098801,0.097866,0.097866,0.037963,545100
1962-03-20,0.097243,0.097243,0.096620,0.096620,0.037480,233600
1962-03-21,0.096308,0.096308,0.095061,0.095061,0.036875,311500
1962-03-22,0.094750,0.094750,0.094126,0.094126,0.036512,116800
1962-03-23,0.094126,0.095373,0.094126,0.094126,0.036512,428300
1962-03-26,0.094126,0.094750,0.093503,0.093503,0.036271,194600
1962-03-27,0.092880,0.092880,0.092256,0.092256,0.035787,233600
1962-03-28,0.091944,0.091944,0.091321,0.091633,0.035545,233600
1962-03-29,0.092256,0.093191,0.092256,0.093191,0.036150,311500
1962-03-30,0.093191,0.093503,0.092568,0.093191,0.036150,428300
1962-04-02,0.093191,0.094126,0.092256,0.092256,0.035787,272500
1962-04-03,0.092256,0.093191,0.091633,0.091633,0.035545,311500
1962-04-04,0.092256,0.092256,0.092256,0.092256,0.035787,155700
1962-04-05,0.092256,0.092568,0.091633,0.091633,0.035545,311500
1962-04-06,0.092568,0.094126,0.092568,0.092568,0.035908,389300
1962-04-09,0.092568,0.093191,0.092568,0.092880,0.036029,389300
1962-04-10,0.092880,0.093191,0.092568,0.092568,0.035908,116800
1962-04-11,0.092568,0.093503,0.091633,0.091633,0.035545,311500
1962-04-12,0.090074,0.090074,0.087269,0.087269,0.033853,934500
1962-04-13,0.087269,0.087269,0.084776,0.086646,0.033611,1168100
1962-04-16,0.086958,0.087893,0.086958,0.087893,0.034094,584000
1962-04-17,0.088828,0.090074,0.088828,0.089763,0.034820,623000
1962-04-18,0.090386,0.091633,0.090386,0.091009,0.035303,623000
1962-04-19,0.091009,0.092568,0.091009,0.091009,0.035303,428300
1962-04-23,0.092256,0.092568,0.092256,0.092256,0.035787,584000
1962-04-24,0.092568,0.094126,0.092568,0.093503,0.036271,506100
1962-04-25,0.093503,0.094438,0.093191,0.093191,0.036150,895500
1962-04-26,0.092880,0.092880,0.091009,0.091009,0.035303,389300
1962-04-27,0.091009,0.091633,0.089139,0.089139,0.034578,350400
1962-04-30,0.087581,0.087581,0.085711,0.085711,0.033248,428300
1962-05-01,0.085711,0.087269,0.085399,0.086646,0.033611,467200
1962-05-02,0.086646,0.087893,0.086023,0.087269,0.033853,311500
1962-05-03,0.087269,0.087269,0.086334,0.086646,0.033611,350400
1962-05-04,0.086646,0.087269,0.086646,0.086646,0.033611,233600
1962-05-07,0.086023,0.086023,0.085399,0.085399,0.033127,311500
1962-05-08,0.085399,0.086646,0.083529,0.083529,0.032402,506100
1962-05-09,0.082283,0.082283,0.080412,0.081036,0.031435,817600
1962-05-10,0.080412,0.080412,0.079789,0.079789,0.030951,545100
1962-05-11,0.079789,0.081036,0.076049,0.077919,0.030226,778700
1962-05-14,0.077919,0.082283,0.077919,0.082283,0.031918,700800
1962-05-15,0.082283,0.082906,0.082283,0.082906,0.032160,350400
1962-05-16,0.082283,0.082283,0.080412,0.080412,0.031193,272500
1962-05-17,0.080412,0.080412,0.078542,0.079166,0.030709,272500
1962-05-18,0.079166,0.079789,0.079166,0.079789,0.030951,350400
1962-05-21,0.079789,0.079789,0.079166,0.079789,0.030951,116800
1962-05-22,0.079789,0.082283,0.079789,0.079789,0.030951,661900
1962-05-23,0.079789,0.079789,0.076049,0.076049,0.029500,739800
1962-05-24,0.076672,0.078542,0.076672,0.076672,0.029742,584000
1962-05-25,0.077607,0.078542,0.077607,0.077919,0.030226,1168100
1962-05-28,0.077919,0.079789,0.077296,0.077296,0.029984,3776900
1962-05-29,0.074179,0.074179,0.070750,0.071686,0.027808,4399900
1962-05-31,0.079789,0.082283,0.079789,0.079789,0.030951,2881300
1962-06-01,0.079789,0.079789,0.077919,0.079789,0.030951,778700
1962-06-04,0.079477,0.079477,0.074802,0.074802,0.029017,661900
1962-06-05,0.074802,0.077296,0.074179,0.076984,0.029863,1946800
1962-06-06,0.076984,0.079477,0.076361,0.079477,0.030830,467200
1962-06-07,0.079477,0.080412,0.076672,0.077296,0.029984,700800
1962-06-08,0.077296,0.079166,0.077296,0.078542,0.030467,661900
1962-06-11,0.077296,0.077296,0.076361,0.077296,0.029984,272500
1962-06-12,0.076049,0.076049,0.074491,0.074491,0.028989,233600
1962-06-13,0.074491,0.074491,0.072309,0.072309,0.028140,700800
1962-06-14,0.071062,0.071062,0.065764,0.065764,0.025593,1518500
1962-06-15,0.065764,0.071374,0.064829,0.071374,0.027776,1518500
1962-06-18,0.071374,0.072309,0.068257,0.072309,0.028140,661900
1962-06-19,0.072309,0.073244,0.070439,0.072309,0.028140,389300
1962-06-20,0.072309,0.072309,0.070439,0.071062,0.027655,155700
1962-06-21,0.069815,0.069815,0.068880,0.069815,0.027170,1012300
1962-06-22,0.069504,0.069504,0.067945,0.067945,0.026442,506100
1962-06-25,0.067322,0.067322,0.065140,0.065140,0.025351,272500
1962-06-26,0.065140,0.066699,0.065140,0.065140,0.025351,545100
1962-06-27,0.066075,0.067945,0.066075,0.067945,0.026442,817600
1962-06-28,0.067945,0.068569,0.067322,0.067945,0.026442,350400
1962-06-29,0.067945,0.068257,0.066699,0.066699,0.025957,623000
1962-07-02,0.065452,0.067322,0.065452,0.067322,0.026200,194600
1962-07-03,0.067322,0.070750,0.067322,0.070750,0.027534,778700
1962-07-05,0.070750,0.071062,0.069192,0.069815,0.027170,389300
